# ════════════════════════════════════════════════════════════
# TRA - Telecommunication Regulatory Authority
# Generated: 6/15/2026, 9:02:49 AM
# Records: 31
# ════════════════════════════════════════════════════════════
#
Year,Quarter,Fiber Optic,ADSL,Fixed 4g,Fixed 5g,Satellite,Other,Total Fixed Broadband
السنة,الربع,اشتراكات تقنية الألياف البحرية,ADSL,اتصال ثابت 4G,اتصال ثابت 5G,فضائي,أخرى,إجمالي الاشتراكات النشطة
,,,,,,,,
"2,026.00",1.00,361819,9478,7653,218279,1344,732,599305
"2,025.00",4.00,356897,9856,10448,219862,1101,743,598907
"2,025.00",3.00,349600,10737,14191,219135,737,752,595152
"2,025.00",2.00,339309,11289,20952,215434,724,769,588477
"2,025.00",1.00,335448,13146,20921,215160,384,794,585853
"2,024.00",4.00,327015,14862,22416,217388,403,816,582900
"2,024.00",3.00,311666,17884,27263,217687,749,844,576093
"2,024.00",2.00,307635,23504,30673,212204,763,866,575645
"2,024.00",1.00,298692,28372,34780,209073,782,866,572565
"2,023.00",4.00,279852,39706,36376,204483,667,899,561983
"2,023.00",3.00,264863,45795,41877,202270,667,915,556387
"2,023.00",2.00,248000,53024,42870,194785,667,938,540284
"2,023.00",1.00,238624,61854,51346,185865,667,978,539334
"2,022.00",4.00,231618,72363,62358,168958,667,1003,536967
"2,022.00",3.00,220894,89370,85636,139791,669,1031,537391
"2,022.00",2.00,207229,111697,93867,111982,669,1085,526529
"2,022.00",1.00,179016,137072,107585,91427,669,1127,516896
"2,021.00",4.00,184593,141997,120186,75893,656,1193,524518
"2,021.00",3.00,178802,149346,105359,58930,701,1272,494410
"2,021.00",2.00,189195,153245,131510,38173,627,1310,514060
"2,021.00",1.00,170514,164098,151681,21628,262,1341,509524
"2,020.00",4.00,161119,168644,167258,10399,191,1338,508949
"2,020.00",3.00,140620,176853,162921,7201,0,1429,489024
"2,020.00",2.00,127687,190863,167273,4874,0,1521,492218
"2,020.00",1.00,122896,198718,169290,2857,0,1780,495541
"2,019.00",4.00,115876,200072,155220,0,0,1902,473070
"2,019.00",3.00,106267,205284,150453,0,0,1970,463974
"2,019.00",2.00,98724,206680,140829,0,0,1965,448198
"2,019.00",1.00,92526,208608,134617,0,0,2017,437768
